"geneDescr"	"clGeneIds"	"aaGenePartitions"	"ntGenePartitions"
"hypothetical protein"	"fig|Bacteroides_1_1_30.peg.1138,fig|Bacteroides_2_1_22.peg.1569,fig|Bacteroides_2_2_4.peg.1290,fig|Bacteroides_3_1_23.peg.2696,fig|Bacteroides_D1.peg.508,fig|Bacteroides_D22.peg.1244,fig|Bacteroides_D2.peg.964,fig|Bacteroides_ovatus_3_8_47FAA.peg.1344,fig|Bacteroides_ovatus_ATCC_8483.peg.1170,fig|Bacteroides_ovatus_CL03T12C18.peg.1459,fig|Bacteroides_ovatus_SD_CC_2a.peg.1050,fig|Bacteroides_ovatus_SD_CMC_3f.peg.3106,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.1059,fig|Bacteroides_xylanisolvens_XB1A.peg.1041,fig|Bovatus_CL02T12C04.peg.789,fig|Bovatus_NLAE-zl-C11.peg.871,fig|Bovatus_NLAE-zl-C34.peg.874,fig|Bovatus_NLAE-zl-H304.peg.1442,fig|Bovatus_NLAE-zl-H361.peg.1232,fig|Bovatus_NLAE-zl-H59.peg.1378,fig|Bovatus_NLAE-zl-H73.peg.1607,fig|Bxylanisolvens_CL03T12C04.peg.1026,fig|Bxylanisolvens_NLAE-zl-C182.peg.1051,fig|Bxylanisolvens_NLAE-zl-C29.peg.949,fig|Bxylanisolvens_NLAE-zl-C339.peg.1050,fig|Bxylanisolvens_NLAE-zl-G310.peg.1272,fig|Bxylanisolvens_NLAE-zl-G421.peg.1269,fig|Bxylanisolvens_NLAE-zl-H194.peg.1087,fig|Bxylanisolvens_NLAE-zl-P352.peg.996,fig|Bxylanisolvens_NLAE-zl-P393.peg.974,fig|Bxylanisolvens_NLAE-zl-P727.peg.944,fig|Bxylanisolvens_NLAE-zl-P732.peg.974,fig|Bxylanisolvens_NLAE-zl-P736.peg.1165"	"472611-472765"	"1417831-1418295"
"Ribosome maturation factor RimP"	"fig|Bacteroides_1_1_30.peg.2938,fig|Bacteroides_2_1_22.peg.2952,fig|Bacteroides_2_2_4.peg.2987,fig|Bacteroides_3_1_23.peg.3602,fig|Bacteroides_D1.peg.2739,fig|Bacteroides_D22.peg.2852,fig|Bacteroides_D2.peg.3190,fig|Bacteroides_ovatus_3_8_47FAA.peg.2930,fig|Bacteroides_ovatus_ATCC_8483.peg.2472,fig|Bacteroides_ovatus_CL03T12C18.peg.3127,fig|Bacteroides_ovatus_SD_CC_2a.peg.2645,fig|Bacteroides_ovatus_SD_CMC_3f.peg.4497,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.2658,fig|Bacteroides_xylanisolvens_XB1A.peg.2657,fig|Bovatus_CL02T12C04.peg.3409,fig|Bovatus_NLAE-zl-C11.peg.2317,fig|Bovatus_NLAE-zl-C34.peg.2404,fig|Bovatus_NLAE-zl-H304.peg.3302,fig|Bovatus_NLAE-zl-H361.peg.2854,fig|Bovatus_NLAE-zl-H59.peg.3608,fig|Bovatus_NLAE-zl-H73.peg.3611,fig|Bxylanisolvens_CL03T12C04.peg.2541,fig|Bxylanisolvens_NLAE-zl-C182.peg.2600,fig|Bxylanisolvens_NLAE-zl-C29.peg.2450,fig|Bxylanisolvens_NLAE-zl-C339.peg.2635,fig|Bxylanisolvens_NLAE-zl-G310.peg.2637,fig|Bxylanisolvens_NLAE-zl-G421.peg.2643,fig|Bxylanisolvens_NLAE-zl-H194.peg.2492,fig|Bxylanisolvens_NLAE-zl-P352.peg.2461,fig|Bxylanisolvens_NLAE-zl-P393.peg.2698,fig|Bxylanisolvens_NLAE-zl-P727.peg.2285,fig|Bxylanisolvens_NLAE-zl-P732.peg.2555,fig|Bxylanisolvens_NLAE-zl-P736.peg.3057"	"472766-472920"	"1418296-1418760"
"CYTH domain protein"	"fig|Bacteroides_1_1_30.peg.3042,fig|Bacteroides_2_1_22.peg.3065,fig|Bacteroides_2_2_4.peg.3088,fig|Bacteroides_3_1_23.peg.3727,fig|Bacteroides_D1.peg.4581,fig|Bacteroides_D22.peg.2950,fig|Bacteroides_D2.peg.3338,fig|Bacteroides_ovatus_3_8_47FAA.peg.3042,fig|Bacteroides_ovatus_ATCC_8483.peg.4648,fig|Bacteroides_ovatus_CL03T12C18.peg.3247,fig|Bacteroides_ovatus_SD_CC_2a.peg.2764,fig|Bacteroides_ovatus_SD_CMC_3f.peg.4630,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.2772,fig|Bacteroides_xylanisolvens_XB1A.peg.2770,fig|Bovatus_CL02T12C04.peg.3649,fig|Bovatus_NLAE-zl-C11.peg.2436,fig|Bovatus_NLAE-zl-C34.peg.2528,fig|Bovatus_NLAE-zl-H304.peg.3454,fig|Bovatus_NLAE-zl-H361.peg.2995,fig|Bovatus_NLAE-zl-H59.peg.3724,fig|Bovatus_NLAE-zl-H73.peg.3726,fig|Bxylanisolvens_CL03T12C04.peg.2670,fig|Bxylanisolvens_NLAE-zl-C182.peg.2690,fig|Bxylanisolvens_NLAE-zl-C29.peg.2540,fig|Bxylanisolvens_NLAE-zl-C339.peg.2725,fig|Bxylanisolvens_NLAE-zl-G310.peg.2727,fig|Bxylanisolvens_NLAE-zl-G421.peg.2733,fig|Bxylanisolvens_NLAE-zl-H194.peg.2575,fig|Bxylanisolvens_NLAE-zl-P352.peg.2578,fig|Bxylanisolvens_NLAE-zl-P393.peg.2815,fig|Bxylanisolvens_NLAE-zl-P727.peg.2401,fig|Bxylanisolvens_NLAE-zl-P732.peg.2671,fig|Bxylanisolvens_NLAE-zl-P736.peg.3182"	"472921-473075"	"1418761-1419225"
"hypothetical protein"	"fig|Bacteroides_1_1_30.peg.3794,fig|Bacteroides_2_1_22.peg.3967,fig|Bacteroides_2_2_4.peg.3909,fig|Bacteroides_3_1_23.peg.4577,fig|Bacteroides_D1.peg.3185,fig|Bacteroides_D22.peg.3638,fig|Bacteroides_D2.peg.4105,fig|Bacteroides_ovatus_3_8_47FAA.peg.3812,fig|Bacteroides_ovatus_ATCC_8483.peg.3293,fig|Bacteroides_ovatus_CL03T12C18.peg.4092,fig|Bacteroides_ovatus_SD_CC_2a.peg.3389,fig|Bacteroides_ovatus_SD_CMC_3f.peg.1413,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.3632,fig|Bacteroides_xylanisolvens_XB1A.peg.3404,fig|Bovatus_CL02T12C04.peg.4428,fig|Bovatus_NLAE-zl-C11.peg.2994,fig|Bovatus_NLAE-zl-C34.peg.3275,fig|Bovatus_NLAE-zl-H304.peg.4196,fig|Bovatus_NLAE-zl-H361.peg.3713,fig|Bovatus_NLAE-zl-H59.peg.4558,fig|Bovatus_NLAE-zl-H73.peg.4567,fig|Bxylanisolvens_CL03T12C04.peg.3332,fig|Bxylanisolvens_NLAE-zl-C182.peg.3324,fig|Bxylanisolvens_NLAE-zl-C29.peg.3083,fig|Bxylanisolvens_NLAE-zl-C339.peg.3318,fig|Bxylanisolvens_NLAE-zl-G310.peg.3347,fig|Bxylanisolvens_NLAE-zl-G421.peg.3353,fig|Bxylanisolvens_NLAE-zl-H194.peg.3077,fig|Bxylanisolvens_NLAE-zl-P352.peg.3298,fig|Bxylanisolvens_NLAE-zl-P393.peg.3490,fig|Bxylanisolvens_NLAE-zl-P727.peg.3077,fig|Bxylanisolvens_NLAE-zl-P732.peg.3378,fig|Bxylanisolvens_NLAE-zl-P736.peg.4050"	"473076-473230"	"1419226-1419690"
"GtrA-like protein"	"fig|Bacteroides_1_1_30.peg.4870,fig|Bacteroides_2_1_22.peg.4477,fig|Bacteroides_2_2_4.peg.5279,fig|Bacteroides_3_1_23.peg.2348,fig|Bacteroides_D1.peg.4253,fig|Bacteroides_D22.peg.4666,fig|Bacteroides_D2.peg.4956,fig|Bacteroides_ovatus_3_8_47FAA.peg.4807,fig|Bacteroides_ovatus_ATCC_8483.peg.4297,fig|Bacteroides_ovatus_CL03T12C18.peg.5229,fig|Bacteroides_ovatus_SD_CC_2a.peg.4423,fig|Bacteroides_ovatus_SD_CMC_3f.peg.2542,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.4724,fig|Bacteroides_xylanisolvens_XB1A.peg.4424,fig|Bovatus_CL02T12C04.peg.5969,fig|Bovatus_NLAE-zl-C11.peg.3812,fig|Bovatus_NLAE-zl-C34.peg.3901,fig|Bovatus_NLAE-zl-H304.peg.5408,fig|Bovatus_NLAE-zl-H361.peg.4554,fig|Bovatus_NLAE-zl-H59.peg.5500,fig|Bovatus_NLAE-zl-H73.peg.5523,fig|Bxylanisolvens_CL03T12C04.peg.4436,fig|Bxylanisolvens_NLAE-zl-C182.peg.4170,fig|Bxylanisolvens_NLAE-zl-C29.peg.4236,fig|Bxylanisolvens_NLAE-zl-C339.peg.4183,fig|Bxylanisolvens_NLAE-zl-G310.peg.4340,fig|Bxylanisolvens_NLAE-zl-G421.peg.4338,fig|Bxylanisolvens_NLAE-zl-H194.peg.4103,fig|Bxylanisolvens_NLAE-zl-P352.peg.4260,fig|Bxylanisolvens_NLAE-zl-P393.peg.1214,fig|Bxylanisolvens_NLAE-zl-P727.peg.4051,fig|Bxylanisolvens_NLAE-zl-P732.peg.4326,fig|Bxylanisolvens_NLAE-zl-P736.peg.4891"	"473231-473389"	"1419691-1420167"
"Nucleoside diphosphate kinase"	"fig|Bacteroides_1_1_30.peg.3258,fig|Bacteroides_2_1_22.peg.3542,fig|Bacteroides_2_2_4.peg.3518,fig|Bacteroides_3_1_23.peg.4136,fig|Bacteroides_D1.peg.2284,fig|Bacteroides_D22.peg.3163,fig|Bacteroides_D2.peg.3713,fig|Bacteroides_ovatus_3_8_47FAA.peg.3391,fig|Bacteroides_ovatus_ATCC_8483.peg.2742,fig|Bacteroides_ovatus_CL03T12C18.peg.3646,fig|Bacteroides_ovatus_SD_CC_2a.peg.2857,fig|Bacteroides_ovatus_SD_CMC_3f.peg.4790,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.3143,fig|Bacteroides_xylanisolvens_XB1A.peg.2967,fig|Bovatus_CL02T12C04.peg.3990,fig|Bovatus_NLAE-zl-C11.peg.2619,fig|Bovatus_NLAE-zl-C34.peg.2710,fig|Bovatus_NLAE-zl-H304.peg.3690,fig|Bovatus_NLAE-zl-H361.peg.3212,fig|Bovatus_NLAE-zl-H59.peg.3972,fig|Bovatus_NLAE-zl-H73.peg.3983,fig|Bxylanisolvens_CL03T12C04.peg.2993,fig|Bxylanisolvens_NLAE-zl-C182.peg.2904,fig|Bxylanisolvens_NLAE-zl-C29.peg.2666,fig|Bxylanisolvens_NLAE-zl-C339.peg.2956,fig|Bxylanisolvens_NLAE-zl-G310.peg.2965,fig|Bxylanisolvens_NLAE-zl-G421.peg.2971,fig|Bxylanisolvens_NLAE-zl-H194.peg.2709,fig|Bxylanisolvens_NLAE-zl-P352.peg.2774,fig|Bxylanisolvens_NLAE-zl-P393.peg.3013,fig|Bxylanisolvens_NLAE-zl-P727.peg.2597,fig|Bxylanisolvens_NLAE-zl-P732.peg.2868,fig|Bxylanisolvens_NLAE-zl-P736.peg.3394"	"473390-473543"	"1420168-1420629"
"putative enoyl-CoA hydratase 1"	"fig|Bacteroides_1_1_30.peg.4088,fig|Bacteroides_2_1_22.peg.4110,fig|Bacteroides_2_2_4.peg.4099,fig|Bacteroides_3_1_23.peg.4806,fig|Bacteroides_D1.peg.4667,fig|Bacteroides_D22.peg.4617,fig|Bacteroides_D2.peg.4253,fig|Bacteroides_ovatus_3_8_47FAA.peg.3975,fig|Bacteroides_ovatus_ATCC_8483.peg.3416,fig|Bacteroides_ovatus_CL03T12C18.peg.4237,fig|Bacteroides_ovatus_SD_CC_2a.peg.3602,fig|Bacteroides_ovatus_SD_CMC_3f.peg.1542,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.3877,fig|Bacteroides_xylanisolvens_XB1A.peg.3539,fig|Bovatus_CL02T12C04.peg.4635,fig|Bovatus_NLAE-zl-C11.peg.3134,fig|Bovatus_NLAE-zl-C34.peg.3414,fig|Bovatus_NLAE-zl-H304.peg.4358,fig|Bovatus_NLAE-zl-H361.peg.3844,fig|Bovatus_NLAE-zl-H59.peg.4703,fig|Bovatus_NLAE-zl-H73.peg.4713,fig|Bxylanisolvens_CL03T12C04.peg.3470,fig|Bxylanisolvens_NLAE-zl-C182.peg.3456,fig|Bxylanisolvens_NLAE-zl-C29.peg.3228,fig|Bxylanisolvens_NLAE-zl-C339.peg.3450,fig|Bxylanisolvens_NLAE-zl-G310.peg.3633,fig|Bxylanisolvens_NLAE-zl-G421.peg.3644,fig|Bxylanisolvens_NLAE-zl-H194.peg.3221,fig|Bxylanisolvens_NLAE-zl-P352.peg.3428,fig|Bxylanisolvens_NLAE-zl-P393.peg.3534,fig|Bxylanisolvens_NLAE-zl-P727.peg.3207,fig|Bxylanisolvens_NLAE-zl-P732.peg.3508,fig|Bxylanisolvens_NLAE-zl-P736.peg.4198"	"473544-473697"	"1420630-1421091"
"Thioredoxin"	"fig|Bacteroides_1_1_30.peg.4434,fig|Bacteroides_2_1_22.peg.582,fig|Bacteroides_2_2_4.peg.4617,fig|Bacteroides_3_1_23.peg.1919,fig|Bacteroides_D1.peg.1022,fig|Bacteroides_D22.peg.4340,fig|Bacteroides_D2.peg.4640,fig|Bacteroides_ovatus_3_8_47FAA.peg.4318,fig|Bacteroides_ovatus_ATCC_8483.peg.3809,fig|Bacteroides_ovatus_CL03T12C18.peg.4759,fig|Bacteroides_ovatus_SD_CC_2a.peg.4129,fig|Bacteroides_ovatus_SD_CMC_3f.peg.2182,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.4402,fig|Bacteroides_xylanisolvens_XB1A.peg.4121,fig|Bovatus_CL02T12C04.peg.5519,fig|Bovatus_NLAE-zl-C11.peg.3532,fig|Bovatus_NLAE-zl-C34.peg.3622,fig|Bovatus_NLAE-zl-H304.peg.4789,fig|Bovatus_NLAE-zl-H361.peg.4246,fig|Bovatus_NLAE-zl-H59.peg.5169,fig|Bovatus_NLAE-zl-H73.peg.5185,fig|Bxylanisolvens_CL03T12C04.peg.4003,fig|Bxylanisolvens_NLAE-zl-C182.peg.3962,fig|Bxylanisolvens_NLAE-zl-C29.peg.3809,fig|Bxylanisolvens_NLAE-zl-C339.peg.3923,fig|Bxylanisolvens_NLAE-zl-G310.peg.4069,fig|Bxylanisolvens_NLAE-zl-G421.peg.4078,fig|Bxylanisolvens_NLAE-zl-H194.peg.3714,fig|Bxylanisolvens_NLAE-zl-P352.peg.3894,fig|Bxylanisolvens_NLAE-zl-P393.peg.4046,fig|Bxylanisolvens_NLAE-zl-P727.peg.3669,fig|Bxylanisolvens_NLAE-zl-P732.peg.3943,fig|Bxylanisolvens_NLAE-zl-P736.peg.1568"	"473698-473851"	"1421092-1421553"
"hypothetical protein"	"fig|Bacteroides_1_1_30.peg.139,fig|Bacteroides_2_1_22.peg.173,fig|Bacteroides_2_2_4.peg.885,fig|Bacteroides_3_1_23.peg.970,fig|Bacteroides_D1.peg.1432,fig|Bacteroides_D22.peg.798,fig|Bacteroides_D2.peg.1744,fig|Bacteroides_ovatus_3_8_47FAA.peg.1073,fig|Bacteroides_ovatus_ATCC_8483.peg.577,fig|Bacteroides_ovatus_CL03T12C18.peg.808,fig|Bacteroides_ovatus_SD_CC_2a.peg.678,fig|Bacteroides_ovatus_SD_CMC_3f.peg.828,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.688,fig|Bacteroides_xylanisolvens_XB1A.peg.664,fig|Bovatus_CL02T12C04.peg.236,fig|Bovatus_NLAE-zl-C11.peg.630,fig|Bovatus_NLAE-zl-C34.peg.633,fig|Bovatus_NLAE-zl-H304.peg.1023,fig|Bovatus_NLAE-zl-H361.peg.843,fig|Bovatus_NLAE-zl-H59.peg.1060,fig|Bovatus_NLAE-zl-H73.peg.914,fig|Bxylanisolvens_CL03T12C04.peg.671,fig|Bxylanisolvens_NLAE-zl-C182.peg.647,fig|Bxylanisolvens_NLAE-zl-C29.peg.663,fig|Bxylanisolvens_NLAE-zl-C339.peg.647,fig|Bxylanisolvens_NLAE-zl-G310.peg.782,fig|Bxylanisolvens_NLAE-zl-G421.peg.781,fig|Bxylanisolvens_NLAE-zl-H194.peg.779,fig|Bxylanisolvens_NLAE-zl-P352.peg.607,fig|Bxylanisolvens_NLAE-zl-P393.peg.605,fig|Bxylanisolvens_NLAE-zl-P727.peg.576,fig|Bxylanisolvens_NLAE-zl-P732.peg.605,fig|Bxylanisolvens_NLAE-zl-P736.peg.745"	"473852-474003"	"1421554-1422009"
"Pyruvate formate-lyase 1-activating enzyme"	"fig|Bacteroides_1_1_30.peg.1480,fig|Bacteroides_2_1_22.peg.1844,fig|Bacteroides_2_2_4.peg.1724,fig|Bacteroides_3_1_23.peg.2940,fig|Bacteroides_D1.peg.762,fig|Bacteroides_D22.peg.1553,fig|Bacteroides_D2.peg.1215,fig|Bacteroides_ovatus_3_8_47FAA.peg.1594,fig|Bacteroides_ovatus_ATCC_8483.peg.1483,fig|Bacteroides_ovatus_CL03T12C18.peg.1771,fig|Bacteroides_ovatus_SD_CC_2a.peg.1324,fig|Bacteroides_ovatus_SD_CMC_3f.peg.3373,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.1322,fig|Bacteroides_xylanisolvens_XB1A.peg.1290,fig|Bovatus_CL02T12C04.peg.1205,fig|Bovatus_NLAE-zl-C11.peg.4185,fig|Bovatus_NLAE-zl-C34.peg.1133,fig|Bovatus_NLAE-zl-H304.peg.1843,fig|Bovatus_NLAE-zl-H361.peg.1576,fig|Bovatus_NLAE-zl-H59.peg.1643,fig|Bovatus_NLAE-zl-H73.peg.1872,fig|Bxylanisolvens_CL03T12C04.peg.1363,fig|Bxylanisolvens_NLAE-zl-C182.peg.1318,fig|Bxylanisolvens_NLAE-zl-C29.peg.1239,fig|Bxylanisolvens_NLAE-zl-C339.peg.1316,fig|Bxylanisolvens_NLAE-zl-G310.peg.1549,fig|Bxylanisolvens_NLAE-zl-G421.peg.1545,fig|Bxylanisolvens_NLAE-zl-H194.peg.1391,fig|Bxylanisolvens_NLAE-zl-P352.peg.1251,fig|Bxylanisolvens_NLAE-zl-P393.peg.1436,fig|Bxylanisolvens_NLAE-zl-P727.peg.991,fig|Bxylanisolvens_NLAE-zl-P732.peg.1294,fig|Bxylanisolvens_NLAE-zl-P736.peg.1482"	"474004-474155"	"1422010-1422465"
"Protease synthase and sporulation negative regulatory protein PAI 1"	"fig|Bacteroides_1_1_30.peg.4813,fig|Bacteroides_2_1_22.peg.4424,fig|Bacteroides_2_2_4.peg.5200,fig|Bacteroides_3_1_23.peg.2302,fig|Bacteroides_D1.peg.4199,fig|Bacteroides_D22.peg.4568,fig|Bacteroides_D2.peg.4910,fig|Bacteroides_ovatus_3_8_47FAA.peg.4759,fig|Bacteroides_ovatus_ATCC_8483.peg.4248,fig|Bacteroides_ovatus_CL03T12C18.peg.5181,fig|Bacteroides_ovatus_SD_CC_2a.peg.4366,fig|Bacteroides_ovatus_SD_CMC_3f.peg.2465,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.4668,fig|Bacteroides_xylanisolvens_XB1A.peg.4370,fig|Bovatus_CL02T12C04.peg.5917,fig|Bovatus_NLAE-zl-C11.peg.3767,fig|Bovatus_NLAE-zl-C34.peg.3856,fig|Bovatus_NLAE-zl-H304.peg.1938,fig|Bovatus_NLAE-zl-H361.peg.4506,fig|Bovatus_NLAE-zl-H59.peg.5452,fig|Bovatus_NLAE-zl-H73.peg.5475,fig|Bxylanisolvens_CL03T12C04.peg.4395,fig|Bxylanisolvens_NLAE-zl-C182.peg.4124,fig|Bxylanisolvens_NLAE-zl-C29.peg.4190,fig|Bxylanisolvens_NLAE-zl-C339.peg.4136,fig|Bxylanisolvens_NLAE-zl-G310.peg.4294,fig|Bxylanisolvens_NLAE-zl-G421.peg.4292,fig|Bxylanisolvens_NLAE-zl-H194.peg.4058,fig|Bxylanisolvens_NLAE-zl-P352.peg.4228,fig|Bxylanisolvens_NLAE-zl-P393.peg.1246,fig|Bxylanisolvens_NLAE-zl-P727.peg.4019,fig|Bxylanisolvens_NLAE-zl-P732.peg.4294,fig|Bxylanisolvens_NLAE-zl-P736.peg.4858"	"474156-474307"	"1422466-1422921"
"Phosphopantetheine adenylyltransferase"	"fig|Bacteroides_1_1_30.peg.2465,fig|Bacteroides_2_1_22.peg.2527,fig|Bacteroides_2_2_4.peg.2358,fig|Bacteroides_3_1_23.peg.437,fig|Bacteroides_D1.peg.2100,fig|Bacteroides_D22.peg.2390,fig|Bacteroides_D2.peg.2651,fig|Bacteroides_ovatus_3_8_47FAA.peg.2441,fig|Bacteroides_ovatus_ATCC_8483.peg.2019,fig|Bacteroides_ovatus_CL03T12C18.peg.2577,fig|Bacteroides_ovatus_SD_CC_2a.peg.2153,fig|Bacteroides_ovatus_SD_CMC_3f.peg.3915,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.2150,fig|Bacteroides_xylanisolvens_XB1A.peg.2071,fig|Bovatus_CL02T12C04.peg.2754,fig|Bovatus_NLAE-zl-C11.peg.1861,fig|Bovatus_NLAE-zl-C34.peg.1962,fig|Bovatus_NLAE-zl-H304.peg.2800,fig|Bovatus_NLAE-zl-H361.peg.2354,fig|Bovatus_NLAE-zl-H59.peg.2838,fig|Bovatus_NLAE-zl-H73.peg.2838,fig|Bxylanisolvens_CL03T12C04.peg.2010,fig|Bxylanisolvens_NLAE-zl-C182.peg.2142,fig|Bxylanisolvens_NLAE-zl-C29.peg.2006,fig|Bxylanisolvens_NLAE-zl-C339.peg.2140,fig|Bxylanisolvens_NLAE-zl-G310.peg.2170,fig|Bxylanisolvens_NLAE-zl-G421.peg.2176,fig|Bxylanisolvens_NLAE-zl-H194.peg.2037,fig|Bxylanisolvens_NLAE-zl-P352.peg.2020,fig|Bxylanisolvens_NLAE-zl-P393.peg.2205,fig|Bxylanisolvens_NLAE-zl-P727.peg.1763,fig|Bxylanisolvens_NLAE-zl-P732.peg.2064,fig|Bxylanisolvens_NLAE-zl-P736.peg.2504"	"474308-474459"	"1422922-1423377"
"Putative Holliday junction resolvase"	"fig|Bacteroides_1_1_30.peg.1802,fig|Bacteroides_2_1_22.peg.428,fig|Bacteroides_2_2_4.peg.4774,fig|Bacteroides_3_1_23.peg.3199,fig|Bacteroides_D1.peg.1174,fig|Bacteroides_D22.peg.1043,fig|Bacteroides_D2.peg.1446,fig|Bacteroides_ovatus_3_8_47FAA.peg.1897,fig|Bacteroides_ovatus_ATCC_8483.peg.3964,fig|Bacteroides_ovatus_CL03T12C18.peg.1044,fig|Bacteroides_ovatus_SD_CC_2a.peg.1621,fig|Bacteroides_ovatus_SD_CMC_3f.peg.3644,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.1613,fig|Bacteroides_xylanisolvens_XB1A.peg.1579,fig|Bovatus_CL02T12C04.peg.2029,fig|Bovatus_NLAE-zl-C11.peg.1377,fig|Bovatus_NLAE-zl-C34.peg.1390,fig|Bovatus_NLAE-zl-H304.peg.2089,fig|Bovatus_NLAE-zl-H361.peg.1718,fig|Bovatus_NLAE-zl-H59.peg.2040,fig|Bovatus_NLAE-zl-H73.peg.2269,fig|Bxylanisolvens_CL03T12C04.peg.4156,fig|Bxylanisolvens_NLAE-zl-C182.peg.1656,fig|Bxylanisolvens_NLAE-zl-C29.peg.1533,fig|Bxylanisolvens_NLAE-zl-C339.peg.1654,fig|Bxylanisolvens_NLAE-zl-G310.peg.1702,fig|Bxylanisolvens_NLAE-zl-G421.peg.1709,fig|Bxylanisolvens_NLAE-zl-H194.peg.914,fig|Bxylanisolvens_NLAE-zl-P352.peg.1362,fig|Bxylanisolvens_NLAE-zl-P393.peg.1547,fig|Bxylanisolvens_NLAE-zl-P727.peg.1102,fig|Bxylanisolvens_NLAE-zl-P732.peg.1405,fig|Bxylanisolvens_NLAE-zl-P736.peg.1777"	"474460-474637"	"1423378-1423911"
"Putative peroxiredoxin bcp"	"fig|Bacteroides_1_1_30.peg.4165,fig|Bacteroides_2_1_22.peg.851,fig|Bacteroides_2_2_4.peg.4299,fig|Bacteroides_3_1_23.peg.4893,fig|Bacteroides_D1.peg.3649,fig|Bacteroides_D22.peg.3822,fig|Bacteroides_D2.peg.4330,fig|Bacteroides_ovatus_3_8_47FAA.peg.4070,fig|Bacteroides_ovatus_ATCC_8483.peg.3498,fig|Bacteroides_ovatus_CL03T12C18.peg.4469,fig|Bacteroides_ovatus_SD_CC_2a.peg.3705,fig|Bacteroides_ovatus_SD_CMC_3f.peg.1643,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.3977,fig|Bacteroides_xylanisolvens_XB1A.peg.3637,fig|Bovatus_CL02T12C04.peg.4897,fig|Bovatus_NLAE-zl-C11.peg.3261,fig|Bovatus_NLAE-zl-C34.peg.3116,fig|Bovatus_NLAE-zl-H304.peg.857,fig|Bovatus_NLAE-zl-H361.peg.3936,fig|Bovatus_NLAE-zl-H59.peg.4771,fig|Bovatus_NLAE-zl-H73.peg.4781,fig|Bxylanisolvens_CL03T12C04.peg.3599,fig|Bxylanisolvens_NLAE-zl-C182.peg.3574,fig|Bxylanisolvens_NLAE-zl-C29.peg.3313,fig|Bxylanisolvens_NLAE-zl-C339.peg.3587,fig|Bxylanisolvens_NLAE-zl-G310.peg.3823,fig|Bxylanisolvens_NLAE-zl-G421.peg.3833,fig|Bxylanisolvens_NLAE-zl-H194.peg.3328,fig|Bxylanisolvens_NLAE-zl-P352.peg.3529,fig|Bxylanisolvens_NLAE-zl-P393.peg.3720,fig|Bxylanisolvens_NLAE-zl-P727.peg.3308,fig|Bxylanisolvens_NLAE-zl-P732.peg.3609,fig|Bxylanisolvens_NLAE-zl-P736.peg.4301"	"474638-474788"	"1423912-1424364"
"D-tyrosyl-tRNA(Tyr) deacylase"	"fig|Bacteroides_1_1_30.peg.2738,fig|Bacteroides_2_1_22.peg.2784,fig|Bacteroides_2_2_4.peg.2797,fig|Bacteroides_3_1_23.peg.755,fig|Bacteroides_D1.peg.2568,fig|Bacteroides_D22.peg.2642,fig|Bacteroides_D2.peg.2988,fig|Bacteroides_ovatus_3_8_47FAA.peg.2739,fig|Bacteroides_ovatus_ATCC_8483.peg.1439,fig|Bacteroides_ovatus_CL03T12C18.peg.2934,fig|Bacteroides_ovatus_SD_CC_2a.peg.2418,fig|Bacteroides_ovatus_SD_CMC_3f.peg.4210,fig|Bacteroides_xylanisolvens_SD_CC_1b.peg.2431,fig|Bacteroides_xylanisolvens_XB1A.peg.2342,fig|Bovatus_CL02T12C04.peg.3215,fig|Bovatus_NLAE-zl-C11.peg.2124,fig|Bovatus_NLAE-zl-C34.peg.2210,fig|Bovatus_NLAE-zl-H304.peg.3054,fig|Bovatus_NLAE-zl-H361.peg.2611,fig|Bovatus_NLAE-zl-H59.peg.3406,fig|Bovatus_NLAE-zl-H73.peg.3403,fig|Bxylanisolvens_CL03T12C04.peg.2322,fig|Bxylanisolvens_NLAE-zl-C182.peg.2407,fig|Bxylanisolvens_NLAE-zl-C29.peg.2263,fig|Bxylanisolvens_NLAE-zl-C339.peg.2419,fig|Bxylanisolvens_NLAE-zl-G310.peg.2447,fig|Bxylanisolvens_NLAE-zl-G421.peg.2453,fig|Bxylanisolvens_NLAE-zl-H194.peg.2293,fig|Bxylanisolvens_NLAE-zl-P352.peg.2269,fig|Bxylanisolvens_NLAE-zl-P393.peg.2506,fig|Bxylanisolvens_NLAE-zl-P727.peg.2093,fig|Bxylanisolvens_NLAE-zl-P732.peg.2364,fig|Bxylanisolvens_NLAE-zl-P736.peg.2862"	"474789-474938"	"1424365-1424814"
